date,BagQty,ItemQty,PackQty,PatientQty,month,weekday
1923-11-30,989.7030739329678,2669.312397111316,3949.2753292635093,772.1726477112749,November,Friday
1923-12-31,892.8817523356413,2560.10628925364,3925.18420811161,726.2576087919786,December,Monday
1924-01-31,849.035704055938,2790.5628693973463,4248.539261958742,727.0564771268372,January,Thursday
1924-02-29,943.0424823877083,2661.771726321096,4226.740890888169,690.2623155249526,February,Friday
1924-03-31,987.6169690666206,2660.752003954802,4209.53140381368,710.2270334345973,March,Monday
1924-04-30,999.6549241042334,2512.751806655188,3894.5960288988517,720.0836560977793,April,Wednesday
1924-05-31,864.4322860362965,2651.538090015021,4008.6906214819746,713.4728361661369,May,Saturday
1924-06-30,1010.6840932001808,2436.6678394737464,4083.2199222730915,677.7576487562811,June,Monday
1924-07-31,879.9986922998085,2598.047439211882,4171.643553252204,782.9373445253118,July,Thursday
1924-08-31,984.0158464601674,2536.798729522538,3662.452189735737,784.153349671618,August,Sunday
1924-09-30,981.0112422635042,2469.4799272150926,4258.09563391553,771.164910440145,September,Tuesday
1924-10-31,881.4016778415727,2852.71107370528,3791.614350514542,764.1240125476793,October,Friday
1924-11-30,927.2087150434992,2425.1758141394093,3792.3007416999358,750.0927320162458,November,Sunday
1924-12-31,1002.236821831869,2485.3781459860556,3929.7774447336406,695.2389506028875,December,Wednesday
1925-01-31,917.5446021962733,2445.302822237398,3760.357692631612,781.2257746894068,January,Saturday
1925-02-28,990.6021459735347,2784.720184102183,3757.0287638064187,688.4980094493978,February,Saturday
1925-03-31,987.8054895930393,2445.0167960825356,4048.7400687812074,770.1979523510214,March,Tuesday
1925-04-30,1009.9467623230396,2532.8855956580874,4109.5636016512535,702.9872003171038,April,Thursday
1925-05-31,857.9823400554919,2437.9761374051936,4125.181664792681,742.5143737413482,May,Sunday
1925-06-30,927.0498315405857,2771.8324061536046,4201.757423214509,703.5722302028041,June,Tuesday
1925-07-31,913.4244347595147,2819.531882155751,4148.686532926225,782.9263314744875,July,Friday
1925-08-31,934.2760533249734,2528.4260940435734,3652.8684221303993,780.5789594442111,August,Monday
1925-09-30,1004.0953297405783,2816.217140552637,3781.980968406444,723.869982036189,September,Wednesday
1925-10-31,864.9373458440796,2579.138894260561,3708.740528341929,757.5603954398986,October,Saturday
1925-11-30,968.7573537691616,2688.3580513863626,3953.8041185046054,725.4859305379857,November,Monday
1925-12-31,905.8532773546106,2734.130730076122,3843.2397019663385,679.6769650632239,December,Thursday
1926-01-31,851.364822384654,2604.0965630023024,4218.661479218453,738.4387131747901,January,Sunday
1926-02-28,896.4511825693887,2842.2943609140048,3725.2613821944906,766.6234710158087,February,Sunday
1926-03-31,845.1213796119409,2624.132013030184,3808.9815304268427,767.6571450711322,March,Wednesday
1926-04-30,974.8709070478267,2844.629253929283,3784.217085333516,709.4828596999579,April,Friday
1926-05-31,924.0106551568714,2827.2210794316693,3738.104827331898,687.5417661898284,May,Monday
1926-06-30,952.71282991215,2664.2355400731085,3846.797623895402,702.2728452447852,June,Wednesday
1926-07-31,860.2331006636398,2844.7938058889185,4027.31244321561,702.5492955753906,July,Saturday
1926-08-31,1013.9715689485512,2561.484971416909,4030.1430906564483,733.7911992763542,August,Tuesday
1926-09-30,930.0066562484596,2630.9689157122857,3936.1521920682862,770.8971270591916,September,Thursday
1926-10-31,935.5822330266667,2564.960446545275,3897.0293990484774,782.1196463691448,October,Sunday
1926-11-30,957.0295408021168,2425.7397186580592,3963.2625187357967,706.3443669494392,November,Tuesday
1926-12-31,953.2033531741858,2595.8580312532717,4079.1186539312407,774.1172924944117,December,Friday
1927-01-31,909.7322282195524,2710.3947783061885,3688.0579678499535,694.1054515607584,January,Monday
1927-02-28,984.2785171369297,2673.084735670451,4164.251033283737,747.1152652933733,February,Monday
1927-03-31,920.4592546227959,2510.7984329501155,3972.5567328835173,746.8778430971374,March,Thursday
1927-04-30,884.0736719312288,2708.901800198113,4151.0441023937265,683.1797132408681,April,Saturday
1927-05-31,998.2790737102071,2539.863241068554,3918.818175651456,721.5788642485569,May,Tuesday
1927-06-30,927.5687477091891,2695.2269605300708,4089.022872705447,738.8399860245818,June,Thursday
1927-07-31,1018.0404253168524,2833.009030304401,4006.1859754767606,715.9487663289494,July,Sunday
1927-08-31,861.8437025763508,2508.2691444932702,3796.573750437548,688.7139725433491,August,Wednesday
1927-09-30,1000.0487759917969,2555.8412402775157,3764.837413047513,779.4081703595128,September,Friday
1927-10-31,905.7172990995697,2803.7400043769608,3826.8440343324596,770.4561595596857,October,Monday
1927-11-30,938.3398400685595,2711.447222862362,3904.768335986115,733.5535585530787,November,Wednesday
1927-12-31,881.3478922152884,2701.0097304246046,3841.2745117312916,721.1823539873784,December,Saturday
1928-01-31,847.4964314529557,2689.9413631219913,3894.333691431397,744.8254834113434,January,Tuesday
1928-02-29,996.0487282943868,2631.2328952259377,4028.876072091595,768.289227249775,February,Wednesday
1928-03-31,888.3315337393433,2640.044786687667,4233.977700001374,724.609067908932,March,Saturday
1928-04-30,1021.8282697415427,2632.619946953212,3812.4987164954928,759.1953038460148,April,Monday
1928-05-31,848.1349175797327,2784.763327686385,4217.05824257377,732.1746589624892,May,Thursday
1928-06-30,1010.6591249280009,2656.757233209944,3916.818793992153,719.0923693741413,June,Saturday
1928-07-31,965.7689615701973,2738.794278225991,3779.128643762006,696.1835753409067,July,Tuesday
1928-08-31,890.3180812948782,2670.571650430915,3822.3727656436477,689.8644139240859,August,Friday
1928-09-30,894.5257311800605,2610.578219716062,3924.8393742915855,766.3364612625862,September,Sunday
1928-10-31,951.9727419721708,2812.821612132213,3913.7904496992196,703.2024673292862,October,Wednesday
1928-11-30,991.2957797995927,2697.632617301556,3945.1571911814563,704.0372984994569,November,Friday
1928-12-31,879.2145180326062,2436.1048506600787,3920.7611679057804,702.262831511064,December,Monday
1929-01-31,924.2960834933244,2654.782640144929,4015.8832199092467,781.6310543923469,January,Thursday
1929-02-28,987.8054895930393,2614.5265693917995,4170.280113214678,773.851442149135,February,Thursday
1929-03-31,865.3619058301208,2647.377614499654,4164.887468861124,773.9225688413666,March,Sunday
1929-04-30,953.3309512180227,2556.913910237151,3863.9647690398665,768.6542726358607,April,Tuesday
1929-05-31,883.1973767521533,2438.87689541229,3975.7390008978764,722.1784891269012,May,Friday
1929-06-30,849.7296642968566,2746.7667627970745,4250.585205932751,702.7351258678797,June,Sunday
1929-07-31,979.9367843033691,2615.906670415383,4196.453296364718,718.3489544792415,July,Wednesday
1929-08-31,843.2718641399737,2555.046988161023,3788.536403765298,723.6094010128119,August,Saturday
1929-09-30,980.506545661962,2664.206399797999,4149.989667709636,774.6850088257469,September,Monday
1929-10-31,925.6005221666957,2673.7759093631057,4234.585674363565,724.7978158344597,October,Thursday
1929-11-30,951.5458888175681,2690.4756687664412,3976.8834823302386,762.6619204208013,November,Saturday
1929-12-31,960.4717774562505,2508.3064494404657,3815.160115296489,680.9973826834173,December,Tuesday
1930-01-31,874.437414564328,2512.721817142183,3796.573750437548,778.802598510737,January,Friday
1930-02-28,869.6299686428877,2759.0417747659553,3963.8169101062012,713.7222558452091,February,Friday
1930-03-31,900.1848773317131,2824.053490084915,3864.8915464290444,744.4689747957733,March,Monday
1930-04-30,854.1718410548671,2827.570145223346,3980.2711409361486,778.7556609576513,April,Wednesday
1930-05-31,845.6299513139271,2437.3853221172744,4245.074103874818,764.386255286218,May,Saturday
1930-06-30,891.1003236916505,2545.3290849874943,4006.4258632272818,708.0315685407995,June,Monday
1930-07-31,867.3125547435703,2577.8112938877885,4091.2122729658827,727.9663447710384,July,Thursday
1930-08-31,941.0558010212914,2727.1883645276675,3718.910616849861,756.2349798704842,August,Sunday
1930-09-30,951.9727419721708,2508.1019064133343,3777.403181403202,740.7155677733797,September,Tuesday
1930-10-31,963.0367213605764,2686.6338634916096,4233.1453943908455,758.3656576072455,October,Friday
1930-11-30,976.9375334450017,2562.828820972267,3734.2877130800116,708.6193344696205,November,Sunday
1930-12-31,851.6606836754862,2563.001831776633,3990.921335304954,765.9900809305943,December,Wednesday
1931-01-31,895.7407553732315,2572.3757241444164,4039.7245173956717,772.269794247517,January,Saturday
1931-02-28,1001.1325834447482,2444.4822125658743,3979.1672670714806,715.3398511148605,February,Saturday
1931-03-31,991.1307180521605,2451.6647414597815,4100.904320132134,682.4446851129693,March,Tuesday
1931-04-30,903.3072287232998,2790.7375622095833,4201.773327464944,783.4859776026375,April,Thursday
1931-05-31,936.6061619511144,2779.240381821941,3848.5799960105146,734.3182886116065,May,Sunday
1931-06-30,845.5863578676018,2790.1935512796704,4080.7523472334683,758.1836447215692,June,Tuesday
1931-07-31,959.0032739195855,2606.452577639474,4153.864188036241,776.7894434702939,July,Friday
1931-08-31,845.626120643128,2809.838690381195,3973.1398632772666,719.9509152923431,August,Monday
1931-09-30,1006.6262875617421,2614.956013599249,3658.142919822885,778.0669348568168,September,Wednesday
1931-10-31,850.1613126170455,2823.2961940764712,3748.1478462410814,780.8145912775678,October,Saturday
1931-11-30,883.1098903757818,2594.645263335847,4259.0635846182895,782.998190885678,November,Monday
1931-12-31,869.1362270185203,2598.5691586723433,3877.050079405168,742.489783980284,December,Thursday
1932-01-31,872.8756949781181,2641.8739644172915,3791.614350514542,776.4731009713006,January,Sunday
1932-02-29,986.540524224314,2555.8307641376455,3690.231495985391,752.2191029745948,February,Monday
1932-03-31,985.8959598655006,2636.9091292197495,3678.9193940493396,723.2326173658927,March,Thursday
1932-04-30,868.3388993479816,2439.8316959503527,4118.279569206707,750.0775313525692,April,Saturday
1932-05-31,872.1179437066622,2716.8197013525914,4136.83795927772,708.6430139654984,May,Tuesday
1932-06-30,849.4600192491042,2588.5835334873714,3919.782779575952,762.8591664432275,June,Thursday
1932-07-31,904.8261412143193,2810.933059171603,4007.0836321636057,726.8347655847143,July,Sunday
1932-08-31,860.612975690954,2505.190673053508,3823.912032184588,684.2700022163158,August,Wednesday
1932-09-30,862.5306176118831,2615.519117445567,3646.668108636064,782.7523645759534,September,Friday
1932-10-31,949.3061086759835,2711.6881085925575,3768.2848011209976,723.0826023260797,October,Monday
1932-11-30,997.5237034860622,2783.5528967311825,3643.423152366158,701.7167189315228,November,Wednesday
1932-12-31,885.9739959472057,2750.0996704768136,3948.5164805456507,771.9683254763826,December,Saturday
1933-01-31,873.9938398328771,2844.0765443800815,4164.445310771985,769.8911680452735,January,Tuesday
1933-02-28,850.8673753400667,2508.937108876275,4088.889779967837,777.0475366970654,February,Tuesday
1933-03-31,874.5542108426076,2804.8441335537905,3908.5030487013846,697.604312046979,March,Friday
1933-04-30,848.1349175797327,2434.9762742417483,4071.301750196017,739.0128781571075,April,Sunday
1933-05-31,1003.009497725762,2761.1017012507264,3746.2352256461586,742.6919202456922,May,Wednesday
1933-06-30,945.6270345157961,2459.8374537827603,3686.9583878626026,778.205322047113,June,Friday
1933-07-31,951.7444971460234,2630.1856841519193,4096.129459935784,706.3395819294788,July,Monday
1933-08-31,880.6415614994833,2611.133145578901,3960.5015263150626,770.9830431593391,August,Thursday
1933-09-30,883.061051921403,2479.052108800646,3636.074950862238,737.9925369978829,September,Saturday
1933-10-31,900.8101683035954,2788.37124384251,4128.95851200049,736.4589834581111,October,Tuesday
1933-11-30,915.9813673625539,2699.4223257338426,4229.5081051481975,697.3915079008241,November,Thursday
1933-12-31,902.6733936658886,2726.776212943147,4109.832617672052,721.344303751839,December,Sunday
1934-01-31,907.4330514237224,2851.006545097924,3721.2825785451996,726.0067033650016,January,Wednesday
1934-02-28,997.9205954055658,2587.842405590202,4195.379970549028,769.195021944286,February,Wednesday
1934-03-31,861.9648423500707,2489.5115581717605,3775.5831053764387,775.4013182871877,March,Saturday
1934-04-30,940.2722714916177,2625.3387403669394,3666.0876776907944,755.9047698123419,April,Monday
1934-05-31,987.816856043015,2453.6638509533545,3742.6176397878203,712.2331266275222,May,Thursday
1934-06-30,903.4197542414332,2704.155002024061,3822.2189349222454,766.8459825144265,June,Saturday
1934-07-31,1003.7821607015338,2810.468611081101,3704.9061678112807,742.6707958577642,July,Tuesday
1934-08-31,951.1416731949205,2532.183713574019,4158.8227762780125,768.6542726358607,August,Friday
1934-09-30,1002.2705360069353,2478.3509499171755,3970.5844053625055,773.8020041743462,September,Sunday
1934-10-31,963.2272954674229,2681.0100096641477,3777.293617179899,727.5698370508165,October,Wednesday
1934-11-30,1011.6666276936968,2627.9021065894735,3953.3008179313797,713.8452674693857,November,Friday
1934-12-31,939.89500144624,2739.8065308551654,4223.546400724942,714.5350332923164,December,Monday
1935-01-31,955.7903802962364,2809.902949164099,3904.903791990186,735.2126785862109,January,Thursday
1935-02-28,991.827813836134,2827.18968330174,4028.711555392295,721.7547351111125,February,Thursday
1935-03-31,916.0767115706146,2674.4684806468076,3937.343636815187,779.0963649347459,March,Sunday
1935-04-30,889.9469698096817,2536.370210999705,4119.107177718908,721.0067590790505,April,Tuesday
1935-05-31,872.0263560288628,2587.613018317697,3939.1730116940694,740.3420177807036,May,Friday
1935-06-30,914.2442770196839,2840.202711900569,3792.675693904123,729.368835032874,June,Sunday
1935-07-31,978.762638473904,2564.4289457843383,4089.0976406418145,722.2096706784126,July,Wednesday
1935-08-31,952.9752701121263,2817.7604302593318,4100.900474933445,690.8440530020272,August,Saturday
1935-09-30,967.4663160225032,2853.3572883818015,3895.473386433509,767.2950235762294,September,Monday
1935-10-31,914.8534515544598,2467.1614936450474,3670.8975100874172,707.4392505616424,October,Thursday
1935-11-30,853.0179631351601,2552.503094598091,3795.6165894550213,754.6668098866243,November,Saturday
1935-12-31,994.1419155196954,2799.963015841927,4040.9382053972467,775.1345702124265,December,Tuesday
1936-01-31,1010.4629491968752,2822.174353701476,3871.9868778683613,702.3486667441505,January,Friday
1936-02-29,982.6654537468768,2705.057495600975,3670.993297919138,773.3673318514525,February,Saturday
1936-03-31,971.1676763263517,2535.9083977481323,3718.6331229877906,747.2960633956843,March,Tuesday
1936-04-30,1014.9292873340987,2663.7159438383424,4119.65068107651,756.0847573347388,April,Thursday
1936-05-31,978.9130577933554,2623.114317790962,4002.0327717753526,715.4625592614802,May,Sunday
1936-06-30,843.667786541212,2842.074423344563,4158.179991461914,771.1688765705859,June,Tuesday
1936-07-31,876.1404594615506,2765.83353223214,3869.2075445302103,774.2893099226917,July,Friday
1936-08-31,972.9571593724631,2531.4389037707097,3728.090173235459,736.0081096323729,August,Monday
1936-09-30,856.8441064690412,2531.734835724491,4245.881360006305,691.7121745225951,September,Wednesday
1936-10-31,937.1126889845922,2589.1031497358413,3654.9753949438827,721.6109182661696,October,Saturday
1936-11-30,1001.9580705042904,2790.4145901039356,4087.9675807096933,711.0574182126556,November,Monday
1936-12-31,846.9171166207917,2834.2494441800513,3680.325012796736,688.9619739308283,December,Thursday
1937-01-31,1005.8556568104491,2782.041042215339,4202.2486304749955,777.0143197896533,January,Sunday
1937-02-28,869.7046031780097,2573.55216544077,3948.3951987659193,716.4115479794553,February,Sunday
1937-03-31,890.1078816908866,2452.603147461478,4176.018824288205,698.5713834027491,March,Wednesday
1937-04-30,988.1623735795861,2534.649135686115,4120.312381979801,684.64295698171,April,Friday
1937-05-31,902.6378788388118,2526.9749050120986,4233.917655483007,715.4591000552971,May,Monday
1937-06-30,887.9143269477667,2752.4221167934024,3709.7407346942905,679.9291981873038,June,Wednesday
1937-07-31,846.3480934775904,2789.9004213708436,3680.690120500113,734.457883336662,July,Saturday
1937-08-31,949.5097276183116,2571.680618310101,3663.3518245460778,747.0658329273432,August,Tuesday
1937-09-30,907.8134791137334,2505.1853584527744,3717.8008142128606,777.3901165484458,September,Thursday
1937-10-31,901.0115391866684,2486.680634763497,4222.471102038774,739.6406537332564,October,Sunday
1937-11-30,1013.9715689485512,2649.4496880276047,3709.4814287955232,699.8919093741531,November,Tuesday
1937-12-31,973.450736931399,2789.7480522540286,4043.184650956523,759.925772210723,December,Friday
1938-01-31,1020.0339118685953,2507.6208357980454,4074.7740164545085,699.4331511246115,January,Monday
1938-02-28,985.0047547231409,2684.59898296432,3990.155450569503,768.403919888161,February,Monday
1938-03-31,1004.4691280279258,2613.9308109627386,3636.907727154588,685.4267512659596,March,Thursday
1938-04-30,848.8342783353789,2548.5481091359634,3834.9350712083315,721.6862518908066,April,Saturday
1938-05-31,901.4321257958838,2460.386607059554,3853.940881135037,753.8222733360847,May,Tuesday
1938-06-30,874.711813653091,2510.4159792129417,3879.3730750507048,731.1187161822337,June,Thursday
1938-07-31,906.8687149176891,2439.3453609262797,4120.841158780078,766.0591057158384,July,Sunday
1938-08-31,1014.3929595869515,2439.211927291714,4053.427551735054,743.9369187619417,August,Wednesday
1938-09-30,990.5559814912644,2549.3962235741365,4181.823094326626,727.4584354044764,September,Friday
1938-10-31,984.765918161417,2742.895336866138,3699.3110655980427,789.0914690956959,October,Monday
1938-11-30,891.3406862139076,2610.3631725514083,4026.752780765891,770.5371966025388,November,Wednesday
1938-12-31,948.4330429232907,2758.1809951705823,4072.344191886437,774.3485399411514,December,Saturday
1939-01-31,1003.6277706589623,2524.2593759271513,3817.8585870066413,688.05999723397,January,Tuesday
1939-02-28,931.8677087061749,2433.5539789888003,3814.3598032732316,752.1136574154377,February,Tuesday
1939-03-31,923.4909297747612,2734.1112191712186,3658.4867566184876,715.526643689825,March,Friday
1939-04-30,977.4069728703674,2796.550774274041,3874.9298885552,768.3146984549701,April,Sunday
1939-05-31,900.0024606952712,2722.592531420465,4266.476014602019,786.3766075094527,May,Wednesday
1939-06-30,918.6842093989119,2490.2867216504847,3901.3868453977266,732.4479532262413,June,Friday
1939-07-31,950.7870585651348,2699.517984756105,4171.243763789826,734.9978063239492,July,Monday
1939-08-31,847.0065150248435,2607.8024736520447,3661.969338257678,713.4135818399775,August,Thursday
1939-09-30,838.9090330242256,2651.210549072181,3925.2946524007343,775.0071197056833,September,Saturday
1939-10-31,848.7519737566222,2793.7172491074593,3669.120760469488,684.8139281505804,October,Tuesday
1939-11-30,1002.3472574579012,2635.6252172328495,4079.5318600887954,787.6940439228046,November,Thursday
1939-12-31,869.3851426305373,2517.0763990578257,3808.0125019092343,696.9940343038968,December,Sunday
1940-01-31,984.7739878107703,2476.9472151793375,3836.384440086322,773.2866607783585,January,Wednesday
1940-02-29,970.3031862113844,2726.4027038621493,3815.656222746516,779.5072515062787,February,Thursday
1940-03-31,895.417979176686,2564.727389206329,4059.547530684266,679.7627586651522,March,Sunday
1940-04-30,981.9463309689861,2820.5851869812313,3826.583860929361,748.1500728547073,April,Tuesday
1940-05-31,844.2147034595142,2566.7551538637213,4015.701748515975,695.7501512996911,May,Friday
1940-06-30,957.2292852873687,2513.7244376275557,3798.642392790967,764.1977417349992,June,Sunday
1940-07-31,959.3819379833905,2782.065997271109,3736.6672479091917,728.809462524977,July,Wednesday
1940-08-31,919.1728919375289,2497.696960093485,3914.1455271829386,682.8877356416923,August,Saturday
1940-09-30,843.721845422171,2711.72586015491,4134.907107952755,710.7987083911061,September,Monday
1940-10-31,912.4967172177563,2674.1929006036357,3771.7091515750635,705.5772841015406,October,Thursday
1940-11-30,996.8887731279367,2536.9327764126615,4059.1827784488596,743.6644962000522,November,Saturday
1940-12-31,920.6451163063833,2552.2880729939643,4144.859111541706,739.8646383762206,December,Tuesday
1941-01-31,845.1630537126742,2533.7327904084596,4246.340037130912,713.2594085619504,January,Friday
1941-02-28,1021.5300852914949,2502.7951762875655,4022.8896694147948,776.7875146591766,February,Friday
1941-03-31,921.4138704851507,2457.13420150177,3654.4220603478984,690.3204881831756,March,Monday
1941-04-30,871.7247027735316,2756.0492528292716,3802.413772013757,682.3067043093268,April,Wednesday
1941-05-31,975.7009994287937,2512.0544040088057,3757.1005144871274,690.9615593557219,May,Saturday
1941-06-30,970.3031862113844,2459.4518127216834,4032.756905253215,676.5939580433928,June,Monday
1941-07-31,852.9510682619523,2644.9923152007373,4237.024079907617,781.8878218803981,July,Thursday
1941-08-31,957.2430478332116,2779.143841790426,4135.220295385272,782.3864933659667,August,Sunday
1941-09-30,975.2695113353457,2627.9412463972158,3804.5083672230585,788.6481570094784,September,Tuesday
1941-10-31,989.0434125144743,2571.3127450772963,4145.502260535239,733.7055719305516,October,Friday
1941-11-30,906.3472899047998,2800.575003859528,3859.134080183845,694.6795997607117,November,Sunday
1941-12-31,888.6698514812284,2849.491780140538,3637.249629190419,714.6306001719574,December,Wednesday
1942-01-31,977.8232511242045,2536.5337855980624,4158.842204431842,724.9837974710406,January,Saturday
1942-02-28,901.3083406038572,2602.593260869452,3972.315275853487,776.2196774137423,February,Saturday
1942-03-31,973.6062335788515,2499.6849156274,3722.0475050303316,789.7105219106219,March,Tuesday
1942-04-30,895.2694726931039,2621.8531399032086,3743.066422888331,780.8145912775678,April,Thursday
1942-05-31,979.1100825901904,2633.5789053561266,4092.7659992950094,705.3586351439982,May,Sunday
1942-06-30,1005.1450767240327,2449.416423821732,4005.9826564177474,768.1381962772102,June,Tuesday
1942-07-31,933.1541431285258,2597.551922359078,3655.2799238115313,779.3334210889618,July,Friday
1942-08-31,849.1650275575691,2777.293311116969,3853.644971361304,743.0706275635858,August,Monday
1942-09-30,856.5242500793845,2659.5998540723244,4241.354093759401,786.11377764701,September,Wednesday
1942-10-31,861.7671695489172,2550.6149956757913,3803.7729675247556,718.7526576393502,October,Saturday
1942-11-30,933.3816916429953,2678.9956311082087,3703.4877640998247,709.7652935463439,November,Monday
1942-12-31,861.6840739593521,2484.235197252632,3853.117366490652,709.0484572584005,December,Thursday
1943-01-31,1019.8483676447047,2657.424118207716,3722.1940479625378,754.1774184653614,January,Sunday
1943-02-28,968.4140010911774,2661.2193928548472,3917.040329337299,754.7049318728112,February,Sunday
1943-03-31,974.9820074438339,2655.6695392684387,4139.931598278945,704.04789027443,March,Wednesday
1943-04-30,911.9931019574111,2832.124074006523,4191.100625227878,764.3786856644679,April,Friday
1943-05-31,910.6194753196916,2850.507089472708,4009.2510166608554,787.9930589593173,May,Monday
1943-06-30,867.0047086264975,2730.83186995534,4065.8809159793636,773.4532610383443,June,Wednesday
1943-07-31,912.2844253945473,2610.2402717132804,4077.4349604404847,682.1726621272288,July,Saturday
1943-08-31,890.5510981955491,2591.9244691252457,4088.0783918325637,776.3956891306581,August,Tuesday
1943-09-30,839.0498425252712,2815.4075071472157,3963.5223790507257,787.3079144533335,September,Thursday
1943-10-31,964.5764390770657,2826.0410845708275,4023.4572982586023,707.1853608806442,October,Sunday
1943-11-30,1010.9333619615508,2610.446868530597,3819.104064843711,787.318694171756,November,Tuesday
1943-12-31,1018.3290998556328,2460.7391358608884,4183.155625519531,732.7150748465168,December,Friday
1944-01-31,969.3797791578714,2820.6094399731546,3793.0008781555034,707.7757535188981,January,Monday
1944-02-29,885.803574597087,2666.180612781083,3909.307074445682,680.0565218218217,February,Tuesday
1944-03-31,923.7812624491748,2719.9189783325482,4220.252394987046,740.2167440661386,March,Friday
1944-04-30,868.8902495724129,2822.926485360695,4150.054158823683,767.2480309593008,April,Sunday
1944-05-31,860.2088471180828,2845.1092883791644,4108.516068291625,740.6989367851814,May,Wednesday
1944-06-30,995.4834174039604,2697.218752137935,3972.0576711219633,754.4836632444641,June,Friday
1944-07-31,898.5047112176813,2499.7681499410783,3816.703204385507,751.4563589394883,July,Monday
1944-08-31,867.255956896392,2784.82278674354,3692.4484760676733,719.5254239853424,August,Thursday
1944-09-30,873.1726987813921,2758.2957817662627,3694.5419471236955,760.001405299129,September,Saturday
1944-10-31,940.837310396034,2594.4639365891344,4011.5216178260143,679.7196234304814,October,Tuesday
1944-11-30,941.7914067432247,2586.2896462630097,3881.2156772535886,714.8804348943916,November,Thursday
1944-12-31,924.7480479309543,2614.5265693917995,3932.8977046918067,741.9406071533158,December,Sunday
1945-01-31,930.6880092511691,2582.0449681348896,4094.0528102749417,693.1672633583489,January,Wednesday
1945-02-28,1007.6684057496137,2806.0357126368085,4180.658853741979,683.2817858792879,February,Wednesday
1945-03-31,855.1547427296285,2470.5184305610687,3905.8978027970743,704.8656443993758,March,Saturday
1945-04-30,914.2314497707829,2599.6269550065886,3801.3185617355334,767.2480309593008,April,Monday
1945-05-31,975.0081806857613,2579.7048561494857,4236.081692815175,772.1847106737921,May,Thursday
1945-06-30,844.0772678502325,2545.8299235569953,3747.2809975234068,722.6689813178207,June,Saturday
1945-07-31,979.6621518903349,2629.178027978603,4227.716683949217,747.3284660931649,July,Tuesday
1945-08-31,843.7738369363367,2750.2459048097817,3802.3714627688973,713.111928081027,August,Friday
1945-09-30,877.9716106271338,2774.0980551998,3741.6585625927105,730.5362869159678,September,Sunday
1945-10-31,889.1203348296931,2665.303490852694,4049.279069776567,764.6339911356005,October,Wednesday
1945-11-30,915.5230124491286,2594.7450789772865,3760.0867700256713,761.1370839916468,November,Friday
1945-12-31,914.3422612088732,2494.6347024852953,4248.6248300143425,676.6812572205333,December,Monday
1946-01-31,1005.7052606103507,2445.264269615793,3871.434612419399,713.6802822381816,January,Thursday
1946-02-28,964.2208162668599,2788.37124384251,3713.803700570245,690.5797916994262,February,Thursday
1946-03-31,958.8382566704892,2734.481899845009,3980.5687171646687,725.6141815762645,March,Sunday
1946-04-30,915.494287589195,2473.270433280425,3968.627463466236,787.9637440430615,April,Tuesday
1946-05-31,978.6843648416004,2426.8220987760747,3828.231981392397,678.7547314161101,May,Friday
1946-06-30,914.8885832508911,2458.7261196363193,3682.3823307490766,700.4058961454787,June,Sunday
1946-07-31,932.4505026318421,2655.210664875918,4131.214490376085,778.5060871874541,July,Wednesday
1946-08-31,915.8393876403501,2728.6081768051126,4125.5117959311565,735.1019359621579,August,Saturday
